id_venta;sucursal;fecha;producto;cantidad;precio_unitario;total;vendedor
V00150;Cuenca;09/01/2025;Lavadora;4;199,02;796,08;Lucía Muñoz
V00151;Guayaquil;02/06/2025;Lavadora;4;192,86;771,44;Fernando Peña
V00152;Quito;21/07/2025;Batidora;2;47,70;95,40;Ramiro Zambrano
V00153;Quito;22/01/2025;Microondas;1;162,48;162,48;José Luis Solórzano
V00154;Guayaquil;08/05/2025;Licuadora;1;798,95;798,95;Gabriela Cárdenas
V00155;Guayaquil;20/07/2025;Batidora;2;786,77;1573,54;Gabriela Cárdenas
V00156;Cuenca;14/07/2025;Cafetera;1;69,11;69,11;Andrés Villón
V00157;Quito;02/06/2025;Televisión;1;886,09;886,09;Andrés Villón
V00158;Quito;08/04/2025;Aire Acondicionado;5;29,57;147,85;Lucía Muñoz
V00159;Guayaquil;05/05/2025;Microondas;5;226,82;1134,10;Ramiro Zambrano
V00160;Cuenca;04/03/2025;Lavadora;2;561,40;1122,80;Lucía Muñoz
V00161;Guayaquil;23/05/2025;Refrigeradora;2;926,56;1853,12;José Luis Solórzano
V00162;Guayaquil;18/02/2025;Batidora;2;548,94;1097,88;María José Andrade
V00163;Guayaquil;02/08/2025;Televisión;3;278,35;835,05;Ramiro Zambrano
V00164;Guayaquil;07/06/2025;Lavadora;4;942,78;3771,12;Ramiro Zambrano
V00165;Quito;24/04/2025;Microondas;3;93,31;279,93;Fernando Peña
V00166;Cuenca;24/06/2025;Refrigeradora;5;638,45;3192,25;Paola Vélez
V00167;Guayaquil;12/07/2025;Licuadora;3;626,77;1880,31;Paola Vélez
V00168;Cuenca;28/05/2025;Cocineta;2;299,07;598,14;Fernando Peña
V00169;Guayaquil;30/01/2025;Ventilador;3;78,97;236,91;Andrés Villón
V00170;Guayaquil;10/03/2025;Batidora;3;185,53;556,59;Paola Vélez
V00171;Quito;07/03/2025;Cocineta;2;856,44;1712,88;Gabriela Cárdenas
V00172;Quito;22/03/2025;Batidora;3;243,03;729,09;José Luis Solórzano
V00173;Quito;08/02/2025;Lavadora;4;946,84;3787,36;Lucía Muñoz
V00174;Cuenca;26/03/2025;Microondas;5;761,89;3809,45;Gabriela Cárdenas
V00175;Cuenca;15/07/2025;Lavadora;2;560,21;1120,42;José Luis Solórzano
V00176;Cuenca;10/04/2025;Refrigeradora;3;97,72;293,16;Andrés Villón
V00177;Cuenca;15/04/2025;Licuadora;4;502,24;2008,96;Paola Vélez
V00178;Guayaquil;05/01/2025;Televisión;3;704,35;2113,05;María José Andrade
V00179;Guayaquil;11/06/2025;Licuadora;1;213,77;213,77;Andrés Villón
V00180;Guayaquil;08/05/2025;Refrigeradora;5;295,26;1476,30;Ramiro Zambrano
V00181;Quito;11/07/2025;Microondas;2;82,15;164,30;María José Andrade
V00182;Quito;04/02/2025;Ventilador;2;539,07;1078,14;Gabriela Cárdenas
V00183;Cuenca;18/04/2025;Lavadora;1;285,24;285,24;José Luis Solórzano
V00184;Quito;13/04/2025;Ventilador;2;158,98;317,96;Fernando Peña
V00185;Guayaquil;28/03/2025;Licuadora;4;914,71;3658,84;Lucía Muñoz
V00186;Guayaquil;10/03/2025;Microondas;5;427,16;2135,80;Paola Vélez
V00187;Quito;23/02/2025;Licuadora;1;341,30;341,30;Gabriela Cárdenas
V00188;Guayaquil;08/06/2025;Aire Acondicionado;3;370,53;1111,59;Lucía Muñoz
V00189;Quito;29/01/2025;Cocineta;4;709,83;2839,32;María José Andrade
V00190;Quito;25/04/2025;Refrigeradora;5;453,66;2268,30;José Luis Solórzano
V00191;Quito;01/02/2025;Microondas;2;866,93;1733,86;María José Andrade
V00192;Cuenca;20/04/2025;Refrigeradora;5;133,55;667,75;Ramiro Zambrano
V00193;Quito;23/04/2025;Licuadora;2;632,17;1264,34;Fernando Peña
V00194;Cuenca;13/08/2025;Microondas;5;912,77;4563,85;Gabriela Cárdenas
V00195;Quito;04/01/2025;Cocineta;1;191,89;191,89;Lucía Muñoz
V00196;Guayaquil;14/07/2025;Cocineta;3;530,05;1590,15;María José Andrade
V00197;Cuenca;13/05/2025;Cocineta;4;535,53;2142,12;Fernando Peña
V00198;Cuenca;22/07/2025;Lavadora;3;238,71;716,13;José Luis Solórzano
V00199;Cuenca;02/01/2025;Aire Acondicionado;4;559,51;2238,04;Lucía Muñoz
V00200;Quito;17/01/2025;Microondas;5;192,42;962,10;Gabriela Cárdenas
V00201;Guayaquil;16/05/2025;Ventilador;1;345,54;345,54;Lucía Muñoz
V00202;Guayaquil;18/05/2025;Licuadora;2;438,59;877,18;Andrés Villón
V00203;Guayaquil;01/04/2025;Batidora;1;675,88;675,88;Paola Vélez
V00204;Cuenca;01/08/2025;Aire Acondicionado;5;20,88;104,40;María José Andrade
V00205;Quito;10/07/2025;Refrigeradora;5;99,68;498,40;Ramiro Zambrano
V00206;Cuenca;23/02/2025;Lavadora;2;469,74;939,48;Lucía Muñoz
V00207;Guayaquil;24/03/2025;Refrigeradora;3;216,34;649,02;José Luis Solórzano
V00208;Guayaquil;29/05/2025;Televisión;4;799,60;3198,40;Andrés Villón
V00209;Quito;06/02/2025;Televisión;2;169,06;338,12;Ramiro Zambrano
V00210;Guayaquil;12/03/2025;Cocineta;3;153,93;461,79;María José Andrade
V00211;Quito;01/01/2025;Lavadora;5;810,92;4054,60;María José Andrade
V00212;Guayaquil;26/05/2025;Aire Acondicionado;5;399,87;1999,35;Paola Vélez
V00213;Quito;07/07/2025;Aire Acondicionado;4;381,28;1525,12;María José Andrade
V00214;Guayaquil;15/08/2025;Cocineta;3;114,26;342,78;Lucía Muñoz
V00215;Cuenca;12/06/2025;Cafetera;1;641,83;641,83;Paola Vélez
V00216;Guayaquil;12/02/2025;Cafetera;1;909,26;909,26;Andrés Villón
V00217;Guayaquil;13/08/2025;Microondas;3;554,00;1662,00;Fernando Peña
V00218;Guayaquil;24/05/2025;Cafetera;5;293,20;1466,00;Lucía Muñoz
V00219;Cuenca;25/05/2025;Televisión;1;220,44;220,44;Andrés Villón
V00220;Cuenca;04/01/2025;Refrigeradora;3;157,03;471,09;Ramiro Zambrano
V00221;Cuenca;17/05/2025;Microondas;2;704,71;1409,42;Ramiro Zambrano
V00222;Quito;20/04/2025;Batidora;2;334,34;668,68;Paola Vélez
V00223;Cuenca;24/07/2025;Licuadora;2;512,01;1024,02;María José Andrade
V00224;Quito;10/02/2025;Ventilador;5;173,08;865,40;Andrés Villón
V00225;Cuenca;27/03/2025;Televisión;5;739,49;3697,45;Lucía Muñoz
V00226;Quito;12/03/2025;Ventilador;4;522,66;2090,64;Fernando Peña
V00227;Quito;10/03/2025;Lavadora;3;111,12;333,36;José Luis Solórzano
V00228;Guayaquil;25/06/2025;Licuadora;3;939,74;2819,22;Fernando Peña
V00229;Quito;01/03/2025;Cocineta;4;451,25;1805,00;Fernando Peña
V00230;Quito;02/08/2025;Batidora;3;828,25;2484,75;Andrés Villón
V00231;Quito;16/03/2025;Refrigeradora;1;201,96;201,96;Ramiro Zambrano
V00232;Cuenca;14/05/2025;Cocineta;5;626,06;3130,30;María José Andrade
V00233;Cuenca;12/03/2025;Cocineta;5;514,10;2570,50;Gabriela Cárdenas
V00234;Quito;10/07/2025;Televisión;1;516,37;516,37;Fernando Peña
V00235;Quito;01/03/2025;Microondas;4;97,68;390,72;Paola Vélez
V00236;Cuenca;14/08/2025;Refrigeradora;3;896,43;2689,29;Gabriela Cárdenas
V00237;Cuenca;21/07/2025;Licuadora;1;58,15;58,15;María José Andrade
V00238;Quito;24/08/2025;Licuadora;1;652,73;652,73;María José Andrade
V00239;Cuenca;05/04/2025;Refrigeradora;5;161,09;805,45;Paola Vélez
V00240;Quito;29/04/2025;Televisión;5;222,58;1112,90;Paola Vélez
V00241;Cuenca;26/06/2025;Licuadora;3;729,13;2187,39;José Luis Solórzano
V00242;Guayaquil;23/06/2025;Aire Acondicionado;1;461,33;461,33;Lucía Muñoz
V00243;Guayaquil;07/04/2025;Aire Acondicionado;5;346,89;1734,45;Ramiro Zambrano
V00244;Cuenca;21/02/2025;Microondas;4;439,84;1759,36;Gabriela Cárdenas
V00245;Guayaquil;04/07/2025;Televisión;5;389,53;1947,65;María José Andrade
V00246;Guayaquil;11/07/2025;Televisión;5;85,73;428,65;María José Andrade
V00247;Guayaquil;08/06/2025;Microondas;2;151,19;302,38;Paola Vélez
V00248;Quito;23/08/2025;Batidora;3;393,97;1181,91;María José Andrade
V00249;Guayaquil;13/08/2025;Cafetera;2;406,83;813,66;Paola Vélez
V00250;Guayaquil;22/07/2025;Microondas;4;555,02;2220,08;Andrés Villón
V00251;Quito;22/01/2025;Microondas;2;680,11;1360,22;María José Andrade
V00252;Guayaquil;06/02/2025;Batidora;4;409,40;1637,60;Lucía Muñoz
V00253;Cuenca;03/07/2025;Televisión;3;176,91;530,73;Gabriela Cárdenas
V00254;Cuenca;07/04/2025;Batidora;5;348,47;1742,35;Lucía Muñoz
V00255;Cuenca;10/04/2025;Licuadora;2;883,31;1766,62;Ramiro Zambrano
V00256;Quito;14/05/2025;Lavadora;2;200,11;400,22;Fernando Peña
V00257;Quito;25/07/2025;Microondas;2;497,16;994,32;Ramiro Zambrano
V00258;Guayaquil;01/07/2025;Ventilador;4;387,53;1550,12;Paola Vélez
V00259;Guayaquil;28/04/2025;Ventilador;4;36,48;145,92;María José Andrade
V00260;Cuenca;01/03/2025;Licuadora;5;446,26;2231,30;Ramiro Zambrano
V00261;Quito;28/04/2025;Batidora;3;432,67;1298,01;María José Andrade
V00262;Guayaquil;21/07/2025;Licuadora;2;776,91;1553,82;Paola Vélez
V00263;Cuenca;22/08/2025;Refrigeradora;3;104,39;313,17;Andrés Villón
V00264;Guayaquil;19/05/2025;Refrigeradora;2;468,49;936,98;Andrés Villón
V00265;Quito;13/04/2025;Microondas;2;110,85;221,70;Paola Vélez
V00266;Quito;25/04/2025;Cocineta;5;156,17;780,85;Andrés Villón
V00267;Quito;25/07/2025;Cocineta;4;411,79;1647,16;Gabriela Cárdenas
Cuenca;07/06/2025;Cafetera;3;648,14;1944,42;José Luis Solórzano
V00269;Guayaquil;16/08/2025;Microondas;1;472,78;472,78;José Luis Solórzano;
V00270;Guayaquil;04/02/2025;Refrigeradora;3;416,06;1248,18;Ramiro Zambrano
V00271;Quito;06/06/2025;Microondas;1;25,54;25,54;Lucía Muñoz
V00272;Guayaquil;17/06/2025;Cocineta;3;441,07;1323,21;Ramiro Zambrano
V00273;Quito;13/08/2025;Refrigeradora;2;123,79;247,58;Fernando Peña
V00274;Guayaquil;03/05/2025;Lavadora;2;644,13;1288,26;Fernando Peña
V00275;Cuenca;30/04/2025;Aire Acondicionado;5;729,68;3648,40;Andrés Villón
V00276;Quito;09/06/2025;Ventilador;1;331,62;331,62;Ramiro Zambrano
V00277;Cuenca;24/05/2025;Batidora;3;776,36;2329,08;Fernando Peña
V00278;Guayaquil;22/06/2025;Lavadora;3;764,77;2294,31;María José Andrade
V00279;Guayaquil;19/08/2025;Cafetera;4;82,73;330,92;Lucía Muñoz
V00280;Quito;03/08/2025;Refrigeradora;5;536,30;2681,50;José Luis Solórzano
V00281;Cuenca;14/03/2025;Refrigeradora;4;257,26;1029,04;Gabriela Cárdenas
V00282;Cuenca;30/01/2025;Lavadora;5;948,43;4742,15;Ramiro Zambrano
V00283;Cuenca;21/08/2025;Lavadora;2;472,30;944,60;Ramiro Zambrano
V00284;Cuenca;12/01/2025;Cafetera;1;728,69;728,69;María José Andrade
V00285;Cuenca;28/01/2025;Licuadora;4;233,36;933,44;Paola Vélez
V00286;Quito;16/08/2025;Batidora;5;526,58;2632,90;María José Andrade
V00287;Cuenca;12/05/2025;Cafetera;5;781,91;3909,55;Andrés Villón
V00288;Quito;06/08/2025;Aire Acondicionado;1;236,90;236,90;Fernando Peña
V00289;Guayaquil;22/01/2025;Televisión;5;44,53;222,65;José Luis Solórzano
V00290;Cuenca;27/06/2025;Batidora;1;874,69;874,69;Paola Vélez
V00291;Quito;04/03/2025;Refrigeradora;5;253,44;1267,20;Gabriela Cárdenas
V00292;Cuenca;12/03/2025;Cocineta;2;50,65;101,30;Fernando Peña
V00293;Guayaquil;20/08/2025;Televisión;1;25,48;25,48;Gabriela Cárdenas
V00294;Quito;03/07/2025;Batidora;3;585,88;1757,64;Andrés Villón
V00295;Quito;23/03/2025;Cafetera;1;794,20;794,20;Fernando Peña
V00296;Guayaquil;15/01/2025;Cocineta;3;575,42;1726,26;José Luis Solórzano
V00297;Cuenca;20/05/2025;Lavadora;4;206,93;827,72;Paola Vélez
V00298;Guayaquil;17/02/2025;Lavadora;5;399,14;1995,70;Paola Vélez
V00299;Guayaquil;17/01/2025;Cafetera;3;132,93;398,79;Andrés Villón
V00300;Cuenca;14/07/2025;Batidora;2;440,74;881,48;José Luis Solórzano
V00301;Quito;18/08/2025;Microondas;4;442,83;1771,32;Fernando Peña
V00302;Cuenca;12/01/2025;Cafetera;3;722,75;2168,25;José Luis Solórzano
V00303;Guayaquil;10/03/2025;Televisión;3;29,83;89,49;Andrés Villón
V00304;Quito;23/01/2025;Aire Acondicionado;3;897,71;2693,13;Gabriela Cárdenas
V00305;Cuenca;09/07/2025;Televisión;1;447,72;447,72;Lucía Muñoz
V00306;Guayaquil;28/06/2025;Lavadora;4;472,25;1889,00;Lucía Muñoz
V00307;Guayaquil;13/02/2025;Televisión;1;495,40;495,40;Paola Vélez
V00308;Quito;15/01/2025;Cocineta;1;80,71;80,71;Paola Vélez
V00309;Quito;24/03/2025;Cafetera;2;180,81;361,62;Andrés Villón
V00310;Quito;12/04/2025;Lavadora;3;898,16;2694,48;Gabriela Cárdenas
V00311;Guayaquil;28/01/2025;Batidora;2;939,48;1878,96;José Luis Solórzano
V00312;Guayaquil;27/06/2025;Lavadora;2;796,31;1592,62;María José Andrade
V00313;Guayaquil;19/02/2025;Televisión;3;744,85;2234,55;Gabriela Cárdenas
V00314;Cuenca;27/06/2025;Cafetera;5;802,17;4010,85;Lucía Muñoz
V00315;Quito;04/05/2025;Cocineta;1;848,29;848,29;José Luis Solórzano
V00316;Cuenca;16/05/2025;Televisión;1;701,65;701,65;José Luis Solórzano
V00317;Cuenca;02/05/2025;Televisión;1;295,69;295,69;María José Andrade
V00318;Quito;15/08/2025;Licuadora;1;596,22;596,22;Fernando Peña
V00319;Quito;08/07/2025;Cocineta;2;544,51;1089,02;Ramiro Zambrano
V00320;Cuenca;14/03/2025;Lavadora;2;388,26;776,52;Andrés Villón
V00321;Cuenca;19/08/2025;Batidora;5;573,59;2867,95;Ramiro Zambrano
V00322;Guayaquil;24/06/2025;Refrigeradora;3;693,68;2081,04;Andrés Villón
V00323;Cuenca;13/07/2025;Licuadora;5;327,22;1636,10;Fernando Peña
V00324;Guayaquil;16/05/2025;Microondas;1;240,24;240,24;Lucía Muñoz
V00325;Quito;24/04/2025;Batidora;1;393,96;393,96;Fernando Peña
V00326;Cuenca;25/01/2025;Ventilador;4;731,49;2925,96;José Luis Solórzano
V00327;Guayaquil;13/07/2025;Cafetera;1;166,55;166,55;Fernando Peña
V00328;Quito;10/02/2025;Televisión;2;804,46;1608,92;Fernando Peña
