cedula,nombre_completo,fecha_nacimiento,sucursal,fecha_afiliacion
0100000050,Fernando Villamar Rodríguez,1964-10-26,Guayaquil,2006-04-13
1700000051,Andrés Vera Suárez,2005-07-18,Guayaquil,2005-05-13
1700000052,Gabriela Rodríguez Loor,1976-02-03,Guayaquil,2013-10-14
0100000053,Sofía Peña Vera,1990-01-29,Cuenca,2014-06-07
0900000054,Ana Peña Cedeño,1963-04-06,Cuenca,2011-07-27
0900000055,Ricardo Cárdenas Mendoza,2007-12-30,Guayaquil,2009-04-28
1700000056,Esteban Bravo Salazar,1963-04-30,Quito,2006-03-23
1700000057,Ana Mendoza Mendoza,1981-11-24,Quito,2021-05-30
1700000058,Sofía Mendoza Chávez,2006-11-19,Quito,2016-01-02
0100000059,Paula Zambrano Loor,2007-03-19,Cuenca,2022-09-28
1700000060,Jorge Rodríguez Salazar,1988-01-05,Quito,2020-07-22
1700000061,María Bravo Peña,1997-12-14,Guayaquil,2012-11-29
0900000062,Luis Aguirre Cárdenas,2003-01-16,Guayaquil,2006-05-29
0100000063,Sofía Salazar Bravo,2014-11-30,Cuenca,2011-03-25
0900000064,Camila Mendoza Mendoza,1967-05-19,Quito,2023-12-13
1700000065,Xavier Bravo Bravo,1988-05-03,Quito,2021-10-03
1700000066,Xavier Chávez Vera,1966-01-08,Guayaquil,2014-03-12
0900000067,Esteban Rodríguez Chávez,1964-01-13,Cuenca,2009-12-28
0900000068,Gabriela Chávez Aguirre,2004-01-22,Cuenca,2016-05-09
1700000069,Camila Vera Aguirre,1977-06-30,Cuenca,2020-08-08
1700000070,Esteban Rodríguez Cárdenas,2007-03-01,Guayaquil,2015-01-18
0100000071,Esteban Salazar Aguirre,1995-06-13,Quito,2014-01-07
0100000072,Andrés Zambrano Aguirre,2009-11-13,Quito,2012-03-26
0100000073,Fernando Chávez Salazar,1966-07-20,Guayaquil,2009-09-29
0100000074,Iván Zambrano Rodríguez,2004-01-16,Guayaquil,2011-07-03
0100000075,Camila Zambrano Aguirre,1976-08-25,Quito,2013-12-31
0900000076,Iván Cárdenas Salazar,1990-03-18,Quito,2006-12-19
0900000077,María Cárdenas Bravo,1964-08-05,Cuenca,2023-07-04
0100000078,Carlos Villamar Aguirre,1970-03-23,Guayaquil,2022-10-14
1700000079,Daniela Mendoza Cárdenas,2001-10-17,Cuenca,2008-09-25
1700000080,Mónica Bravo Mendoza,1973-02-15,Quito,2009-07-23
0100000081,Diego Bravo Rodríguez,1985-12-06,Quito,2013-01-12
0100000082,Camila Zambrano Aguirre,1993-01-10,Quito,2015-08-11
0900000083,Gabriela Salazar Suárez,1996-09-22,Quito,2009-07-18
0900000084,Valentina Cárdenas Vera,2009-02-25,Guayaquil,2012-12-26
0100000085,Ana Cedeño Loor,1975-08-10,Quito,2019-04-30
0100000086,Carlos Aguirre Chávez,2004-10-22,Quito,2017-06-28
0900000087,Ana Bravo Mendoza,2001-08-22,Guayaquil,2021-04-13
0900000088,Ricardo Suárez Suárez,2005-09-09,Guayaquil,2018-01-23
0900000089,Ana Villamar Chávez,2009-06-12,Cuenca,2015-03-25
1700000090,Diego Chávez Loor,1962-09-19,Cuenca,2021-05-03
0100000091,Xavier Vera Villamar,1969-08-12,Quito,2019-04-19
0900000092,Paula Villamar Cedeño,1986-12-14,Quito,2014-05-19
0100000093,Xavier Salazar Chávez,1959-11-29,Cuenca,2005-03-21
0100000094,Xavier Villamar Peña,1989-07-20,Quito,2021-12-01
1700000095,Ana Cedeño Chávez,2011-12-05,Quito,2014-09-21
0100000096,Diego Salazar Vera,1969-06-06,Guayaquil,2018-05-14
1700000097,Esteban Chávez Loor,2013-11-23,Quito,2012-03-16
1700000098,Ana Aguirre Rodríguez,1991-02-04,Guayaquil,2014-06-11
0900000099,Fernando Bravo Mendoza,2003-06-22,Cuenca,2010-04-03
1700000100,Sofía Bravo Vera,1971-12-26,Cuenca,2013-10-20
1700000101,Iván Bravo Salazar,1996-07-19,Cuenca,2020-07-05
0100000102,Mónica Rodríguez Villamar,1978-09-14,Guayaquil,2016-10-05
0100000103,Andrés Cedeño Loor,2012-05-27,Quito,2005-10-06
0900000104,Esteban Cedeño Aguirre,1975-04-20,Cuenca,2011-04-16
0900000105,Xavier Mendoza Vera,2013-12-23,Quito,2008-09-25
1700000106,Carlos Vera Aguirre,1965-11-24,Quito,2021-01-19
0900000107,Patricia Suárez Mendoza,1966-06-21,Quito,2023-10-29
0900000108,Xavier Cedeño Loor,2007-09-03,Guayaquil,2010-05-22
1700000109,Sofía Zambrano Salazar,1993-10-02,Guayaquil,2011-02-06
0100000110,María Rodríguez Bravo,1981-12-18,Quito,2023-04-14
0100000111,Sofía Suárez Loor,2000-05-03,Cuenca,2020-06-07
1700000112,Diego Rodríguez Rodríguez,2000-08-26,Cuenca,2015-12-21
0100000113,Luis Bravo Peña,1964-05-03,Quito,2011-02-22
1700000114,Diego Mendoza Loor,2000-04-08,Quito,2012-08-06
0100000115,Luis Mendoza Cárdenas,2002-05-12,Guayaquil,2008-05-10
1700000116,Carlos Salazar Zambrano,1999-04-12,Quito,2024-05-03
0100000117,Mónica Aguirre Loor,1963-12-10,Quito,2010-10-26
1700000118,Esteban Vera Peña,2008-02-02,Cuenca,2016-06-09
0100000119,Sofía Suárez Aguirre,2011-02-17,Guayaquil,2016-11-29
0100000120,Andrés Cedeño Rodríguez,1967-01-02,Guayaquil,2013-10-03
0100000121,Fernando Mendoza Zambrano,2010-12-14,Guayaquil,2015-01-27
0900000122,Valentina Salazar Cárdenas,1994-06-23,Cuenca,2014-08-17
0100000123,Esteban Rodríguez Vera,1978-07-14,Guayaquil,2020-01-29
0100000124,Andrés Cárdenas Villamar,1980-06-29,Cuenca,2021-05-14
0100000125,Diego Rodríguez Cedeño,1975-11-08,Cuenca,2022-12-29
1700000126,Xavier Peña Villamar,1995-09-19,Cuenca,2023-07-03
0100000127,Carlos Salazar Vera,2005-09-09,Quito,2020-05-29
0900000128,Valentina Peña Cedeño,1957-11-02,Cuenca,2012-05-29
0100000129,Valentina Peña Villamar,1994-11-27,Cuenca,2007-07-11
1700000130,Esteban Peña Rodríguez,1975-04-20,Cuenca,2024-02-17
0900000131,Ana Zambrano Loor,1970-04-19,Cuenca,2012-03-31
0100000132,Valentina Peña Chávez,2011-03-31,Guayaquil,2009-06-29
1700000133,Daniela Aguirre Suárez,1994-10-13,Guayaquil,2022-07-30
0100000134,Diego Bravo Villamar,1976-01-26,Quito,2012-08-09
0900000135,Jorge Cedeño Cárdenas,1989-03-17,Guayaquil,2011-12-23
1700000136,Mónica Vera Bravo,2009-06-09,Cuenca,2014-02-05
0100000137,Ricardo Salazar Cárdenas,1980-03-24,Guayaquil,2019-10-03
1700000138,Jorge Rodríguez Mendoza,1990-09-16,Cuenca,2016-03-08
0900000139,Sofía Cárdenas Vera,1963-06-11,Guayaquil,2009-05-09
1700000140,Diego Vera Bravo,1969-11-07,Quito,2013-04-24
0100000141,Mónica Cárdenas Aguirre,1964-09-08,Cuenca,2018-01-03
0900000142,Andrés Aguirre Chávez,2006-07-07,Cuenca,2009-04-22
0100000143,Patricia Rodríguez Cárdenas,2007-04-04,Quito,2007-05-16
0900000144,Diego Aguirre Zambrano,2001-06-02,Guayaquil,2015-11-15
0900000145,Paula Cedeño Vera,1958-05-31,Guayaquil,2022-06-11
0900000146,Patricia Cárdenas Vera,2004-12-18,Quito,2022-08-31
0100000147,Ricardo Aguirre Chávez,1988-09-03,Quito,2013-12-25
0100000148,Camila Aguirre Aguirre,1963-06-19,Guayaquil,2008-10-03
0100000149,Ana Vera Suárez,1956-06-01,Quito,2013-03-03
0100000150,María Salazar Vera,1983-02-22,Cuenca,2013-10-05
1700000151,Gabriela Bravo Suárez,1994-07-27,Guayaquil,2020-02-19
1700000152,Diego Villamar Rodríguez,2000-01-17,Guayaquil,2018-04-30
0900000153,Valentina Aguirre Chávez,2010-04-27,Guayaquil,2019-02-17
0100000154,Esteban Salazar Peña,1998-12-26,Cuenca,2018-04-12
1700000155,Valentina Mendoza Chávez,1996-07-10,Guayaquil,2023-05-10
0900000156,Jorge Mendoza Peña,1982-11-03,Guayaquil,2010-03-21
1700000157,Luis Villamar Suárez,1962-09-26,Guayaquil,2006-03-03
1700000158,Ana Cárdenas Peña,1991-08-15,Guayaquil,2011-05-21
0900000159,Xavier Vera Salazar,1976-06-04,Guayaquil,2009-11-29
0900000160,Iván Vera Salazar,1992-02-09,Cuenca,2017-11-13
0100000161,Camila Villamar Mendoza,2007-02-23,Guayaquil,2017-02-06
0100000162,Daniela Chávez Mendoza,2006-12-09,Quito,2019-10-19
0900000163,Luis Bravo Salazar,1980-01-05,Quito,2021-04-15
0900000164,Paula Salazar Suárez,2013-08-15,Guayaquil,2016-02-25
0100000165,Iván Loor Bravo,1973-02-11,Guayaquil,2010-10-20
1700000166,Sofía Zambrano Cárdenas,1963-06-18,Quito,2013-07-02
1700000167,Carlos Loor Cedeño,1995-05-29,Guayaquil,2009-05-21
1700000168,Carlos Loor Cárdenas,2007-12-09,Quito,2014-11-14
0100000169,Mónica Cedeño Bravo,1973-09-03,Quito,2007-03-04
0900000170,Patricia Chávez Loor,1997-04-04,Guayaquil,2021-11-08
1700000171,Valentina Salazar Vera,1979-06-10,Cuenca,2012-10-06
0100000172,Iván Rodríguez Rodríguez,2000-04-08,Cuenca,2024-05-22
1700000173,Esteban Vera Cedeño,1969-08-23,Quito,2017-10-11
0100000174,Ricardo Peña Vera,1957-09-26,Guayaquil,2007-08-15
1700000175,Patricia Aguirre Loor,1981-12-23,Guayaquil,2017-03-06
0100000176,Daniela Salazar Peña,2000-12-24,Cuenca,2021-10-26
0100000177,Camila Mendoza Loor,1980-10-14,Cuenca,2018-09-12
0900000178,Ricardo Salazar Vera,2014-10-24,Guayaquil,2015-11-06
0100000179,Jorge Peña Mendoza,1955-01-29,Guayaquil,2017-10-27
0100000180,Valentina Zambrano Mendoza,2013-06-29,Guayaquil,2008-04-26
1700000181,Ricardo Vera Cedeño,1990-11-01,Guayaquil,2013-03-29
0100000182,Camila Salazar Zambrano,1963-10-06,Quito,2005-05-01
0900000183,Ricardo Villamar Chávez,1956-04-24,Cuenca,2012-10-05
1700000184,Andrés Villamar Mendoza,1998-07-06,Guayaquil,2009-06-19
1700000185,Gabriela Chávez Bravo,1974-10-14,Cuenca,2013-09-24
1700000186,Diego Chávez Zambrano,1978-05-15,Cuenca,2008-12-03
1700000187,Mónica Loor Aguirre,1975-04-11,Quito,2023-03-26
0900000188,Gabriela Peña Mendoza,1955-01-23,Guayaquil,2012-10-25
1700000189,Jorge Bravo Vera,2003-05-27,Quito,2005-12-06
0100000190,Carlos Cedeño Villamar,2009-03-10,Guayaquil,2009-04-13
0900000191,Esteban Cedeño Mendoza,2009-11-30,Quito,2010-06-14
1700000192,María Aguirre Aguirre,1956-03-19,Cuenca,2007-03-06
0100000193,Carlos Aguirre Cárdenas,1959-02-17,Guayaquil,2015-06-30
0900000194,Mónica Cedeño Vera,1989-09-21,Quito,2014-11-15
0900000195,Gabriela Vera Villamar,1959-01-27,Quito,2016-04-20
1700000196,Mónica Vera Loor,1981-01-01,Cuenca,2009-11-12
0900000197,Gabriela Salazar Cárdenas,2001-10-21,Guayaquil,2019-11-28
0900000198,Valentina Cárdenas Peña,1961-11-25,Guayaquil,2020-07-22
1700000199,Diego Cedeño Chávez,1975-10-24,Guayaquil,2019-10-18
0900000200,Ana Zambrano Suárez,1994-12-02,Cuenca,2014-01-15
0900000201,Paula Bravo Aguirre,1977-10-21,Cuenca,2008-05-31
1700000202,Carlos Aguirre Loor,1974-04-08,Guayaquil,2019-05-29
0900000203,Esteban Cedeño Loor,1976-02-16,Cuenca,2020-12-17
0100000204,Carlos Cárdenas Villamar,1964-01-24,Cuenca,2006-05-01
0900000205,Valentina Zambrano Cárdenas,1993-06-03,Quito,2018-05-02
0900000206,Fernando Mendoza Peña,1994-07-18,Cuenca,2024-08-12
1700000207,Ana Salazar Vera,1995-01-28,Guayaquil,2021-07-06
0900000208,Sofía Suárez Cedeño,2001-11-25,Quito,2007-01-18
0900000209,Carlos Chávez Rodríguez,2000-08-17,Guayaquil,2015-06-26
1700000210,Iván Cárdenas Villamar,2003-09-10,Quito,2020-01-06
0100000211,Paula Chávez Vera,1981-10-28,Cuenca,2024-07-20
1700000212,Mónica Zambrano Loor,1975-02-28,Guayaquil,2007-05-23
1700000213,Paula Aguirre Cedeño,1969-08-13,Cuenca,2007-07-13
0100000214,Fernando Salazar Villamar,2009-12-11,Cuenca,2006-04-26
0100000215,Carlos Villamar Cedeño,2002-01-04,Cuenca,2023-01-05
1700000216,Sofía Cedeño Mendoza,1957-10-22,Quito,2018-04-17
0900000217,Esteban Cárdenas Peña,1993-06-08,Cuenca,2007-09-20
0900000218,Paula Suárez Suárez,2010-05-23,Quito,2005-01-31
0100000219,Iván Cárdenas Zambrano,2011-03-16,Cuenca,2018-08-01
0100000220,Ana Salazar Villamar,1963-03-11,Cuenca,2009-11-21
1700000221,Carlos Salazar Rodríguez,1996-02-11,Quito,2008-08-27
1700000222,Carlos Vera Villamar,1980-12-08,Guayaquil,2017-04-20
1700000223,Luis Salazar Peña,1996-01-14,Cuenca,2021-02-02
0100000224,Luis Cedeño Suárez,1965-06-26,Cuenca,2005-05-05
0900000225,Paula Cárdenas Chávez,1955-01-11,Guayaquil,2012-03-28
0100000226,Fernando Aguirre Cedeño,1977-04-01,Cuenca,2011-06-07
1700000227,Mónica Mendoza Chávez,1957-10-31,Quito,2024-12-25
1700000228,Xavier Aguirre Chávez,2013-11-26,Quito,2015-08-06
0100000229,Camila Zambrano Zambrano,1990-02-19,Quito,2015-05-22
0900000230,María Aguirre Loor,2009-06-18,Guayaquil,2011-11-28
0900000231,Ana Chávez Zambrano,1995-01-28,Cuenca,2009-01-28
1700000232,Luis Salazar Cárdenas,2005-12-12,Cuenca,2021-02-10
0900000233,Esteban Mendoza Zambrano,2004-10-18,Cuenca,2005-07-09
1700000234,Patricia Cedeño Rodríguez,1992-12-21,Cuenca,2015-05-05
1700000235,Gabriela Bravo Bravo,1993-02-08,Cuenca,2024-01-28
0100000236,Mónica Salazar Chávez,1973-08-04,Guayaquil,2018-04-05
0100000237,Patricia Salazar Peña,2001-01-07,Cuenca,2017-06-11
0900000238,Fernando Salazar Aguirre,2008-02-10,Quito,2019-12-16
0900000239,María Rodríguez Zambrano,2002-02-14,Guayaquil,2013-07-23
0900000240,María Loor Villamar,2012-05-17,Cuenca,2015-07-13
0100000241,Ricardo Suárez Rodríguez,2007-04-29,Quito,2006-04-04
0100000242,Andrés Cedeño Vera,1956-05-17,Cuenca,2023-06-04
0900000243,Ricardo Salazar Vera,2000-01-17,Quito,2022-01-23
0100000244,Xavier Cárdenas Cárdenas,2012-02-16,Quito,2021-09-14
1700000245,Diego Vera Bravo,1975-08-14,Quito,2012-08-22
0100000246,Camila Suárez Bravo,1966-04-09,Guayaquil,2006-04-19
0900000247,Mónica Cárdenas Salazar,1985-07-31,Guayaquil,2006-10-02
0900000248,Ricardo Salazar Bravo,1984-09-13,Quito,2023-01-22
0900000249,Paula Salazar Peña,2000-05-07,Guayaquil,2012-11-03
0900000250,Sofía Aguirre Bravo,1972-08-03,Quito,2019-12-26
0100000251,Patricia Rodríguez Mendoza,1981-06-02,Cuenca,2010-06-22
0900000252,María Cárdenas Cedeño,1956-07-01,Cuenca,2011-12-23
1700000253,Luis Rodríguez Salazar,1955-03-05,Guayaquil,2010-10-14
0900000254,Sofía Bravo Peña,1986-05-31,Guayaquil,2012-12-09
1700000255,Mónica Suárez Suárez,1984-05-01,Quito,2014-09-06
0900000256,Diego Suárez Chávez,1972-08-27,Quito,2015-03-06
0100000257,Ana Mendoza Cedeño,1990-09-11,Cuenca,2017-11-23
1700000258,Ana Bravo Cárdenas,1958-01-30,Guayaquil,2021-07-10
1700000259,Luis Zambrano Chávez,1970-02-18,Cuenca,2016-04-04
0100000260,Gabriela Bravo Loor,1984-09-02,Quito,2022-09-26
1700000261,Esteban Chávez Chávez,1959-05-06,Quito,2008-05-22
1700000262,Xavier Villamar Aguirre,1965-07-02,Cuenca,2014-11-29
1700000263,Esteban Villamar Cedeño,1965-03-08,Quito,2022-02-24
0900000264,Ana Salazar Villamar,2013-01-10,Guayaquil,2011-03-19
0900000265,Paula Zambrano Salazar,1969-07-05,Cuenca,2020-09-05
0900000266,Mónica Loor Aguirre,1970-12-15,Cuenca,2007-08-21
0100000267,Mónica Villamar Loor,1987-03-04,Cuenca,2015-10-08
0100000268,Paula Villamar Salazar,2014-10-10,Cuenca,2005-09-20
0900000269,Diego Villamar Aguirre,1964-04-11,Quito,2015-01-29
0900000270,Patricia Cedeño Zambrano,2003-03-11,Guayaquil,2015-08-03
0900000271,Daniela Villamar Loor,2009-07-24,Cuenca,2020-12-01
1700000272,Camila Loor Suárez,2010-05-24,Cuenca,2018-03-20
0900000273,Carlos Salazar Salazar,2012-08-22,Cuenca,2009-02-10
0100000274,Paula Suárez Cárdenas,1966-05-24,Cuenca,2015-12-27
0100000275,Ricardo Cárdenas Vera,1983-01-20,Cuenca,2019-01-22
0100000276,Diego Cedeño Loor,1991-09-20,Cuenca,2013-11-03
1700000277,Gabriela Loor Suárez,1957-08-14,Guayaquil,2017-10-13
0900000278,Valentina Loor Peña,1987-10-01,Guayaquil,2013-05-01
0900000279,Patricia Bravo Suárez,1958-07-09,Cuenca,2014-09-29
0900000280,Mónica Chávez Rodríguez,1966-06-13,Cuenca,2024-08-01
1700000281,Mónica Cárdenas Mendoza,1969-12-21,Guayaquil,2013-08-04
0100000282,Patricia Salazar Zambrano,1972-11-14,Cuenca,2014-06-15
0900000283,Sofía Salazar Peña,1982-10-12,Guayaquil,2008-06-30
0100000284,Ricardo Zambrano Peña,1960-01-22,Quito,2007-09-04
0100000285,Andrés Cárdenas Rodríguez,2000-08-03,Quito,2020-09-08
0100000286,Sofía Villamar Salazar,1955-03-22,Guayaquil,2024-06-05
0900000287,Carlos Vera Mendoza,1987-08-04,Cuenca,2014-04-29
0900000288,Iván Rodríguez Aguirre,1968-10-11,Guayaquil,2015-10-22
1700000289,Paula Cárdenas Villamar,2010-02-26,Cuenca,2020-10-06
0100000290,Gabriela Chávez Vera,1955-05-08,Guayaquil,2006-05-30
0900000291,Jorge Mendoza Zambrano,2004-08-20,Guayaquil,2016-10-13
0100000292,Mónica Vera Cárdenas,1971-09-19,Cuenca,2023-05-31
0900000293,Xavier Loor Peña,1965-04-18,Guayaquil,2013-11-25
0100000294,Andrés Zambrano Cedeño,1975-12-11,Quito,2006-06-21
0900000295,Mónica Salazar Suárez,2009-06-29,Quito,2013-10-04
0900000296,Sofía Cedeño Mendoza,1959-02-18,Cuenca,2015-10-04
0900000297,Daniela Rodríguez Villamar,1991-03-17,Cuenca,2020-07-08
0100000298,Ana Zambrano Mendoza,1955-04-17,Cuenca,2016-10-09
1700000299,Jorge Vera Bravo,1983-10-26,Guayaquil,2019-03-15
1700000300,María Zambrano Loor,1994-08-20,Quito,2005-06-10
0900000301,Diego Loor Aguirre,1983-05-18,Cuenca,2014-11-07
0100000302,Gabriela Loor Villamar,1966-01-24,Cuenca,2009-09-28
1700000303,Luis Rodríguez Cedeño,1982-02-22,Cuenca,2011-07-09
0100000304,Gabriela Zambrano Mendoza,1992-12-17,Guayaquil,2015-05-14
0100000305,Fernando Rodríguez Loor,1990-10-23,Cuenca,2010-10-03
0100000306,Xavier Villamar Salazar,1994-01-15,Quito,2007-09-04
0900000307,Fernando Villamar Aguirre,1962-05-22,Guayaquil,2008-02-24
0900000308,Gabriela Aguirre Peña,1978-05-23,Quito,2008-07-03
1700000309,Camila Villamar Loor,1995-12-25,Cuenca,2014-05-27
0100000310,Sofía Peña Rodríguez,2004-03-09,Guayaquil,2022-01-01
0100000311,Carlos Cárdenas Salazar,1970-02-15,Quito,2013-02-23
1700000312,Fernando Aguirre Chávez,1979-06-28,Cuenca,2012-05-04
0900000313,Luis Salazar Cedeño,1984-02-20,Quito,2017-12-09
0900000314,Daniela Zambrano Rodríguez,1969-05-27,Guayaquil,2015-03-24
1700000315,Carlos Chávez Vera,1961-03-14,Quito,2015-07-22
1700000316,Diego Chávez Rodríguez,1975-06-17,Guayaquil,2016-02-20
0100000317,Gabriela Zambrano Rodríguez,2002-10-31,Guayaquil,2009-06-03
0900000318,Diego Bravo Villamar,2001-06-30,Guayaquil,2010-04-11
0900000319,Andrés Bravo Vera,1990-05-27,Quito,2015-06-02
0100000320,Esteban Peña Chávez,1957-12-28,Cuenca,2012-10-04
0900000321,Ana Cedeño Mendoza,2008-06-24,Quito,2014-09-20
1700000322,Andrés Cárdenas Peña,2012-06-21,Quito,2023-01-05
0900000323,Carlos Bravo Villamar,1998-08-30,Quito,2020-07-09
0100000324,Ricardo Mendoza Villamar,1960-02-29,Guayaquil,2010-11-17
1700000325,Gabriela Zambrano Zambrano,1986-01-04,Quito,2021-09-20
0900000326,Camila Mendoza Chávez,2010-11-20,Cuenca,2013-05-20
0100000327,Jorge Villamar Cedeño,2010-01-01,Cuenca,2010-01-05
0900000328,Daniela Suárez Zambrano,1976-01-16,Cuenca,2009-11-29
1700000329,Ana Vera Bravo,1977-01-01,Guayaquil,2017-08-10
0900000330,Iván Bravo Salazar,1992-05-21,Quito,2019-06-27
0900000331,Ricardo Mendoza Chávez,2005-08-07,Guayaquil,2021-08-28
0100000332,Esteban Suárez Vera,1982-04-25,Quito,2024-07-03
0100000333,Andrés Aguirre Salazar,1981-06-02,Cuenca,2023-10-11
1700000334,Esteban Villamar Loor,1959-03-03,Quito,2007-10-10
0900000335,Sofía Cedeño Peña,1973-08-13,Guayaquil,2008-01-26
0900000336,Sofía Villamar Peña,2000-11-03,Quito,2021-12-18
0900000337,Jorge Mendoza Peña,1981-07-31,Guayaquil,2022-01-11
0100000338,Carlos Zambrano Vera,1992-03-13,Cuenca,2005-06-07
0900000339,Fernando Bravo Chávez,1992-02-12,Cuenca,2016-08-09
1700000340,Gabriela Aguirre Bravo,1987-08-28,Guayaquil,2015-04-29
1700000341,Mónica Vera Mendoza,2001-03-05,Cuenca,2016-03-28
0100000342,Sofía Bravo Bravo,1973-08-06,Cuenca,2006-09-02
0900000343,Ricardo Chávez Salazar,1979-08-27,Guayaquil,2018-07-01
0100000344,Diego Villamar Zambrano,2001-09-02,Guayaquil,2005-10-18
1700000345,Carlos Mendoza Zambrano,1977-01-17,Guayaquil,2012-01-19
0100000346,Esteban Cárdenas Loor,1983-05-24,Guayaquil,2007-06-27
1700000347,Ana Rodríguez Aguirre,2010-08-08,Quito,2011-08-28
0900000348,Sofía Loor Mendoza,1986-05-24,Guayaquil,2005-01-04
1700000349,Diego Villamar Cárdenas,2005-12-28,Guayaquil,2024-03-08
1700000350,Patricia Chávez Cárdenas,1993-10-23,Quito,2021-04-17
0900000351,Diego Villamar Rodríguez,1986-11-16,Cuenca,2016-10-15
0900000352,Gabriela Loor Chávez,1965-08-17,Guayaquil,2008-03-05
1700000353,Daniela Cedeño Cedeño,1972-09-27,Cuenca,2017-05-13
0900000354,Esteban Zambrano Cedeño,1986-04-10,Quito,2019-05-22
1700000355,Daniela Rodríguez Aguirre,1974-12-18,Cuenca,2014-12-31
0900000356,Luis Aguirre Suárez,1958-02-01,Guayaquil,2023-10-29
0900000357,Carlos Chávez Vera,1998-11-21,Quito,2023-01-14
0100000358,Patricia Rodríguez Chávez,1970-06-13,Quito,2010-02-26
0900000359,Ricardo Bravo Zambrano,1979-11-14,Quito,2018-02-12
0900000360,Camila Peña Peña,1980-11-04,Quito,2011-08-14
1700000361,Mónica Mendoza Villamar,1984-06-27,Cuenca,2024-10-06
0900000362,Ana Aguirre Vera,1964-09-09,Guayaquil,2024-02-23
1700000363,Sofía Bravo Cárdenas,1977-04-01,Cuenca,2015-02-12
0900000364,Ana Vera Bravo,1963-06-09,Cuenca,2020-03-21
0100000365,Xavier Bravo Salazar,1964-08-03,Guayaquil,2024-08-04
